Id;Marker;Origin;End
0;0;0;1
1;0;0;2
2;0;0;3
3;0;1;4
4;0;1;5
5;0;2;6
6;0;2;7
7;0;3;8
8;0;3;9
9;0;4;7
10;0;4;10
11;0;5;8
12;0;5;11
13;0;6;9
14;0;6;12
15;0;7;13
16;0;8;14
17;0;9;15
18;0;10;11
19;0;10;16
20;0;11;17
21;0;12;13
22;0;12;18
23;0;13;16
24;0;14;15
25;0;14;17
26;0;15;18
27;0;16;19
28;0;17;19
29;0;18;19
