Id;Marker;Origin;End
0;0;0;1
1;0;0;2
2;0;0;3
3;0;0;4
4;0;1;2
5;0;1;4
6;0;1;5
7;0;2;3
8;0;2;5
9;0;3;4
10;0;3;5
11;0;4;5
