Id;Marker;X;Y;Z
0;0;0.0000000000000000e+00;0.0000000000000000e+00;1.1755709999999999e+00
1;0;1.0514619999999999e+00;0.0000000000000000e+00;5.2573110000000001e-01
2;0;3.2491969999999998e-01;1.0000000000000000e+00;5.2573110000000001e-01
3;0;-8.5065080000000004e-01;6.1803399999999997e-01;5.2573110000000001e-01
4;0;-8.5065080000000004e-01;-6.1803399999999997e-01;5.2573110000000001e-01
5;0;3.2491969999999998e-01;-1.0000000000000000e+00;5.2573110000000001e-01
6;0;8.5065080000000004e-01;6.1803399999999997e-01;-5.2573110000000001e-01
7;0;8.5065080000000004e-01;-6.1803399999999997e-01;-5.2573110000000001e-01
8;0;-3.2491969999999998e-01;1.0000000000000000e+00;-5.2573110000000001e-01
9;0;-1.0514619999999999e+00;0.0000000000000000e+00;-5.2573110000000001e-01
10;0;-3.2491969999999998e-01;-1.0000000000000000e+00;-5.2573110000000001e-01
11;0;0.0000000000000000e+00;0.0000000000000000e+00;-1.1755709999999999e+00
