Id;Marker;Origin;End
0;0;0;1
1;0;0;2
2;0;0;3
3;0;1;4
4;0;1;5
5;0;2;4
6;0;2;6
7;0;3;5
8;0;3;6
9;0;4;7
10;0;5;7
11;0;6;7
